decision,reason_code,reason,title,year,venue,doi,arxiv,url,source_file,abstract_snippet
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,"Positioning in 5G Networks: Emerging Techniques, Use Cases, and Challenges",2025,IEEE Internet of Things Journal,10.1109/jiot.2024.3487822,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10737444,ieee_xplore_2026-02-19_06-02-26.csv,"As 5G networks proliferate globally, the need for accurate, reliable, and scalable positioning solutions has become increasingly critical across industries, such as Internet of Things (IoT), healthcare, and autonomous systems. This article comprehensively reviews current and emer..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Semi-Sequential Probabilistic Model for Indoor Localization Enhancement,2020,IEEE Sensors Journal,10.1109/jsen.2020.2972850,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8988252,ieee_xplore_2026-02-19_06-02-26.csv,This paper proposes a semi-sequential probabilistic model (SSP) that applies an additional short term memory to enhance the performance of the probabilistic indoor localization. The conventional probabilistic methods normally treat the locations in the database indiscriminately. ...
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Energy-Angle Domain Initial Access and Beam Tracking in Millimeter Wave V2X Communications,2019,IEEE Access,10.1109/access.2019.2891251,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8604028,ieee_xplore_2026-02-19_06-02-26.csv,"With plentiful spectrum resources, millimeter-wave (mmWave) band has been the forefront candidate to enable the requirements of lower latency and faster data rate for future automotive systems. However, the incorporation of mmWave directional transmission and diversely vehicular ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Adaptive Beamwidth Control for mmWave Beam Tracking,2021,IEEE Communications Letters,10.1109/lcomm.2020.3022877,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9189808,ieee_xplore_2026-02-19_06-02-26.csv,"Traditional beam tracking has severe performance loss under the high mobility and narrow beam scenario. To alleviate the tracking performance degradation, we propose an adaptive beamwidth control for millimeter wave beam tracking. Using the particle filter, we perform the beam tr..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Positioning Methods,2024,Positioning and Location-based Analytics in 5G and Beyond,10.1002/9781119911463.ch2,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10273054.pdf&bkn=10272983&pdfType=chapter,ieee_xplore_2026-02-19_06-02-26.csv,"This chapter introduces the main positioning methods, starting from the state‐of‐the‐art and following a statistical estimation perspective. This is followed by an in‐depth treatment of radio positioning, first focusing on device‐based positioning and then on device‐free position..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Extending the Stansfield Algorithm to Three Dimensions: Algorithms and Implementations,2018,IEEE Transactions on Signal Processing,10.1109/tsp.2017.2781641,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170309,ieee_xplore_2026-02-19_06-02-26.csv,"The Stansfield algorithm is a well-known geolocation method for two-dimensional (2-D), azimuth-only bearing measurements of a stationary emitter. It is known to suffer from estimation bias, and its performance in terms of optimality criteria is unknown. Strategies that accurately..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,A 3-D Indoor Positioning Method Fusing Relative Barometric Pressure and UWB Measurements,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2025.3550953,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10925841,ieee_xplore_2026-02-19_06-02-26.csv,"In recent years, the indoor positioning technology has garnered considerable attention, with the demands for precision in indoor localization escalating progressively. It is well known that ultrawideband (UWB) is widely used in various scenarios for its advantages of high precisi..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Optimal formation of cooperative multiple UAVs for enhancing passive target tracking performance,2016,IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society,10.1109/iecon.2016.7793894,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7793894,ieee_xplore_2026-02-19_06-02-26.csv,"A new approach to the optimal formation problem is proposed in the sense of the passive target tracking using time difference of arrival (TDOA) data obtained by cooperative UAVs. In most existing methods, under the assumption that arbitrary unbiased and efficient estimator could ..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Two-Step Weighted Least-Squares Positioning Algorithm Based on AUV Navigation Velocity in Complex Underwater Acoustic Environments,2026,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2026.3658232,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11364234,ieee_xplore_2026-02-19_06-02-26.csv,This article focuses on mobile positioning for an autonomous underwater vehicle (AUV) in complex underwater environments. The positioning algorithm based on time of arrival (TOA) assumes that the underwater acoustic communication between the AUV and underwater sensors is real tim...
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Downlink Training Sequence Design for FDD Multiuser Massive MIMO Systems,2017,IEEE Transactions on Signal Processing,10.1109/tsp.2017.2711522,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7938362,ieee_xplore_2026-02-19_06-02-26.csv,We consider the problem of downlink training sequence design for frequency-division-duplex multiuser massive multiple-input multiple-output systems in the general case where users have distinct spatial correlations. The training sequences leverage spatial correlations and are des...
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,RIO-SAR: Synthetic Aperture Radar Imaging of Indoor Scenes Based on Radar-Inertial Odometry Using a Mobile Robot,2024,IEEE Transactions on Radar Systems,10.1109/trs.2024.3488474,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10739367,ieee_xplore_2026-02-19_06-02-26.csv,Synthetic aperture radar (SAR) imaging provides a method for increasing the resolution of small and low-cost frequency-modulated continuous wave (FMCW) multiple-input multiple-output (MIMO) radar sensors. Using SAR images as an alternative to traditional point cloud-based represe...
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Millimeter Wave Real-Time Tracking and Imaging of Moving Objects Based on Virtual MIMO Array and State Vector Prediction,2023,IEEE Access,10.1109/access.2023.3322727,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273996,ieee_xplore_2026-02-19_06-02-26.csv,"Millimeter wave imaging systems are being rapidly applied to indoor security, industrial nondestructive evaluation and automotive radar systems. Millimeter wave real-time imaging is the ultimate goal of many applications. However, in order to achieve high resolution, the current ..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,High-Precision UWB Sensor-Based Real-Time Locating System for Rodent Behavioral Studies,2025,IEEE Sensors Journal,10.1109/jsen.2025.3572031,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11015686,ieee_xplore_2026-02-19_06-02-26.csv,"Precise tracking of rodent movement is a critical component of behavioral studies, particularly for nocturnal species where traditional methods, such as video tracking, are limited by environmental constraints and visibility. This study presents a novel application of ultrawideba..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Tracking and Localization of an Acoustic Source in the Observed Area Using a Webcam,2025,2025 New Trends in Aviation Development (NTAD),10.1109/ntad67887.2025.11302562,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11302562,ieee_xplore_2026-02-19_06-02-26.csv,"This paper deals with the issue of locating noise sources in an observed area using Eye Tracking technology with a web camera. People tend to automatically move their gaze towards the perceived source of sound; therefore, gaze measurement can be used to quickly, easily, and accur..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Deterministic Channel‐parameter Estimation,2016,"Propagation Channel Characterization, Parameter Estimation, and Modeling for Wireless Communications",10.1002/9781118188248.ch6,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=7656797.pdf&bkn=7601575&pdfType=chapter,ieee_xplore_2026-02-19_06-02-26.csv,"This chapter introduces some widely adopted spectral‐based and parametric algorithms used for estimating channel parameters from measurement data. It describes the Bartlett beamforming method, which is a common spectral‐based method for estimating channel power spectra. The chapt..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Comprehensive Evaluation of Robust and Tight Integration of UWB and Low-Cost IMU,2023,IEEE Sensors Journal,10.1109/jsen.2023.3309623,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10238435,ieee_xplore_2026-02-19_06-02-26.csv,"With the rapid development of the Internet of Things (IoT), indoor positioning method with characters of high accuracy, continuity, and reliability has become an urgent requirement. Although the global satellite navigation system (GNSS) can provide that information in open-sky co..."
EXCLUDE,E_ARRAY_NO_DOA_TRACK,Array/radar terms but no DOA or tracking terms.,Sensing of Side Lobes Interference for Blockage Prediction in Dense mmWave Networks,2023,"2023 IEEE 34th Annual International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC)",10.1109/pimrc56721.2023.10293974,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10293974,ieee_xplore_2026-02-19_06-02-26.csv,"The integration of sensing capability in the design of wireless communication systems is foreseen as a key enabler for efficient radio resource management in next-generation networks. This paper focuses on millimeter-wave communications, which are subject to severe attenuation du..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,AI-Enhanced Quantum-Secured IoT Communication Framework for 6G Cognitive Radio Networks,2024,IEEE Access,10.1109/access.2024.3471711,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701274,ieee_xplore_2026-02-19_06-02-26.csv,"The advent of 6G wireless communication promises improvements in signal coverage, data rates, and latency, addressing increased connectivity demands due to the proliferation of 5G, IoT, and augmented reality. This paper introduces a Quantum-Secured IoT Communication Framework des..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,An FMCW MIMO Radar-Vision Fusion Algorithm for Target Classification and Localization,2023,IEEE Access,10.1109/access.2023.3321271,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10268437,ieee_xplore_2026-02-19_06-02-26.csv,"In order to solve the problems of slow real-time and poor detection of small targets that still exist in multi-sensor information fusion technology, a frequency-modulated continuous wave (FMCW) multiple-input multiple-output (MIMO) radar-vision fusion algorithm for target classif..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Exploiting the Complementarity of Audio and Visual Data in Multi-speaker Tracking,2017,2017 IEEE International Conference on Computer Vision Workshops (ICCVW),10.1109/iccvw.2017.60,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8265270,ieee_xplore_2026-02-19_06-02-26.csv,"Multi-speaker tracking is a central problem in human-robot interaction. In this context, exploiting auditory and visual information is gratifying and challenging at the same time. Gratifying because the complementary nature of auditory and visual information allows us to be more ..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,"Composite Disturbance Filtering: A Novel State Estimation Scheme for Systems With Multisource, Heterogeneous, and Isomeric Disturbances",2023,IEEE Open Journal of the Industrial Electronics Society,10.1109/ojies.2023.3317271,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10255262,ieee_xplore_2026-02-19_06-02-26.csv,"State estimation has long been a fundamental problem in signal processing and control areas. The main challenge is to design filters with ability to reject or attenuate various disturbances. With the arrival of Big Data era, the disturbances of complicated systems are physically ..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,GNSS Vulnerabilities and Existing Solutions: A Review of the Literature,2021,IEEE Access,10.1109/access.2020.2973759,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8998218,ieee_xplore_2026-02-19_06-02-26.csv,"This literature review paper focuses on existing vulnerabilities associated with global navigation satellite systems (GNSSs). With respect to the civilian/non encrypted GNSSs, they are employed for proving positioning, navigation and timing (PNT) solutions across a wide range of ..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Multisensor-multitarget bearing-only sensor registration,2016,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2016.150471,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7738346,ieee_xplore_2026-02-19_06-02-26.csv,"Bearing-only estimation is one of the fundamental and challenging problems in target tracking. As in the case of radar tracking, the presence of offset or position biases can exacerbate the challenges in bearing-only estimation. Modeling various sensor biases is not a trivial tas..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,A Pedestrian Indoor Navigation System Using Deep-Learning-Aided Cellular Signals and ZUPT-Aided Foot-Mounted IMUs,2022,IEEE Sensors Journal,10.1109/jsen.2021.3118695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564043,ieee_xplore_2026-02-19_06-02-26.csv,"A signal-sensor-based indoor pedestrian navigation system is developed. The proposed system: 1) utilizes a foot-mounted inertial navigation system (INS), in which the accumulated errors are mitigated via a zero velocity update (ZUPT) approach; 2) exploits opportunistically cellul..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,RAPID: Retrofitting IEEE 802.11ay Access Points for Indoor Human Detection and Sensing,2024,IEEE Transactions on Mobile Computing,10.1109/tmc.2023.3291882,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10172159,ieee_xplore_2026-02-19_06-02-26.csv,"In this work we present RAPID, the first joint communication and radar system based on next-generation IEEE 802.11ay WiFi networks operating in the 60 GHz band. Unlike existing approaches for human sensing at millimeter-wave frequencies, which rely on special-purpose radars, RAPI..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Robust Track Association for Ship Localization With Multiple Compact HF Radars,2023,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2023.3321336,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10268955,ieee_xplore_2026-02-19_06-02-26.csv,"A compact high-frequency (HF) radar is a promising tool for maritime surveillance owing to its over-the-horizon and all-weather ability. However, it typically suffers from low tracking accuracy due to limited azimuth resolution. Cross localization using multiple radars provides a..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,ComRadE: Cognitive Passive Tracking in Symbiotic IEEE 802.22 Systems,2017,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2017.2667498,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857021,ieee_xplore_2026-02-19_06-02-26.csv,"This paper deals with a symbiotic radar, defined as a passive radar that is an integral part of a communication network. The symbiotic radar is integrated with an IEEE 802.22 Wireless Regional Area Network and linked with the base station. It can work as a purely passive radar or..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Non-Parametric Approach of Video Capsule Endoscope Localization Using Suboptimal Method of Position Bounded CWCL,2017,IEEE Sensors Journal,10.1109/jsen.2017.2743217,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8015102,ieee_xplore_2026-02-19_06-02-26.csv,"For proper diagnosis, location of the wireless video capsule endoscope is required to be known by the physicians. In this paper, we propose an algorithm of localizing the capsule using path loss-based calibrated weighted centroid localization (CWCL). The main challenge in path lo..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Simultaneous Intent Prediction and State Estimation Using an Intent-Driven Intrinsic Coordinate Model,2020,2020 IEEE 30th International Workshop on Machine Learning for Signal Processing (MLSP),10.1109/mlsp49062.2020.9231596,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9231596,ieee_xplore_2026-02-19_06-02-26.csv,"The motion of an object (e.g. ship, jet, pedestrian, bird, drone, etc.) is usually governed by premeditated actions as per an underlying intent, for instance reaching a destination. In this paper, we introduce a novel intent-driven dynamical model based on a continuous-time intri..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,The Truth Is Out There: Cognitive sensing and opportunistic navigation with unknown terrestrial and nonterrestrial signals,2024,IEEE Signal Processing Magazine,10.1109/msp.2024.3472496,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10774074,ieee_xplore_2026-02-19_06-02-26.csv,"There has been significant interest over the past few years in integrated sensing and communication (ISAC) to enable applications, such as the massive Internet of Things, highly automated transportation systems, and military surveillance. Many ISAC studies in the literature consi..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Labelled Non-Zero Diffusion Particle Flow SMC-PHD Filtering for Multi-Speaker Tracking,2024,IEEE Transactions on Multimedia,10.1109/tmm.2023.3301221,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237291,ieee_xplore_2026-02-19_06-02-26.csv,"Particle flow (PF) is a method originally proposed for single target tracking, and used recently to address the weight degeneracy problem of the sequential Monte Carlo probability hypothesis density (SMC-PHD) filter for audio-visual (AV) multi-speaker tracking, where the particle..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Machine Learning Based Channel Prediction for NR Type II CSI Reporting,2023,ICC 2023 - IEEE International Conference on Communications,10.1109/icc45041.2023.10279531,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10279531,ieee_xplore_2026-02-19_06-02-26.csv,"The application of artificial intelligence and machine learning (AI/ML) into the wireless physical layer is under discussion at 3GPP. Channel state information (CSI) prediction is among the sub use cases being studied. In this work, we propose an AI/ML CSI predictor that aims to ..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Routing Protocols and Mobility Predictions for UAV Data Collection From Agricultural Sites: A Survey,2025,IEEE Access,10.1109/access.2025.3582163,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11045897,ieee_xplore_2026-02-19_06-02-26.csv,"Unmanned Aerial Vehicles (UAVs), also known as drones, have found applications in precision agriculture owing to their agility and remote access. However, because of battery, bandwidth and environmental constraints, UAV’s networks experience intermittent links and packet drops. T..."
